"Ano	Estado	Mes	Numero	Periodo"
"2007	Alagoas	5	0	01/01/2007"
"2008	Alagoas	5	0	01/01/2008"
"2009	Alagoas	5	0	01/01/2009"
"2010	Alagoas	5	0	01/01/2010"
"2011	Alagoas	5	0	01/01/2011"
"2012	Alagoas	5	21	01/01/2012"
"2013	Alagoas	5	2	01/01/2013"
"2014	Alagoas	5	1	01/01/2014"
"2015	Alagoas	5	18	01/01/2015"
"2016	Alagoas	5	4	01/01/2016"
"2017	Alagoas	5	1	01/01/2017"
"1998	Alagoas	6	0	01/01/1998"
"1999	Alagoas	6	0	01/01/1999"
"2000	Alagoas	6	0	01/01/2000"
"2001	Alagoas	6	2	01/01/2001"
"2002	Alagoas	6	0	01/01/2002"
"2003	Alagoas	6	0	01/01/2003"
"2004	Alagoas	6	0	01/01/2004"
"2005	Alagoas	6	0	01/01/2005"
"2006	Alagoas	6	0	01/01/2006"
"2007	Alagoas	6	0	01/01/2007"
"2008	Alagoas	6	0	01/01/2008"
"2009	Alagoas	6	0	01/01/2009"
"2010	Alagoas	6	0	01/01/2010"
"2011	Alagoas	6	2	01/01/2011"
"2012	Alagoas	6	4	01/01/2012"
"2013	Alagoas	6	1	01/01/2013"
"2014	Alagoas	6	2	01/01/2014"
"2015	Alagoas	6	2	01/01/2015"
"2016	Alagoas	6	5	01/01/2016"
"2017	Alagoas	6	2	01/01/2017"
"1998	Alagoas	7	0	01/01/1998"
"1999	Alagoas	7	0	01/01/1999"
"2000	Alagoas	7	0	01/01/2000"
"2001	Alagoas	7	0	01/01/2001"
"2002	Alagoas	7	5	01/01/2002"
"2003	Alagoas	7	0	01/01/2003"
"2004	Alagoas	7	0	01/01/2004"
"2005	Alagoas	7	0	01/01/2005"
"2006	Alagoas	7	0	01/01/2006"
"2007	Alagoas	7	0	01/01/2007"
"2008	Alagoas	7	0	01/01/2008"
"2009	Alagoas	7	0	01/01/2009"
"2010	Alagoas	7	2	01/01/2010"
"2011	Alagoas	7	0	01/01/2011"
"2012	Alagoas	7	0	01/01/2012"
"2013	Alagoas	7	0	01/01/2013"
"2014	Alagoas	7	1	01/01/2014"
"2015	Alagoas	7	0	01/01/2015"
"2016	Alagoas	7	3	01/01/2016"
"2017	Alagoas	7	0	01/01/2017"
"1998	Alagoas	8	1	01/01/1998"
"1999	Alagoas	8	3	01/01/1999"
"2000	Alagoas	8	4	01/01/2000"
"2001	Alagoas	8	1	01/01/2001"
"2002	Alagoas	8	3	01/01/2002"
"2003	Alagoas	8	2	01/01/2003"
"2004	Alagoas	8	2	01/01/2004"
"2005	Alagoas	8	2	01/01/2005"
"2006	Alagoas	8	1	01/01/2006"
"2007	Alagoas	8	3	01/01/2007"
"2008	Alagoas	8	1	01/01/2008"
"2009	Alagoas	8	0	01/01/2009"
"2010	Alagoas	8	1	01/01/2010"
"2011	Alagoas	8	4	01/01/2011"
"2012	Alagoas	8	0	01/01/2012"
"2013	Alagoas	8	0	01/01/2013"
"2014	Alagoas	8	3	01/01/2014"
"2015	Alagoas	8	3	01/01/2015"
"2016	Alagoas	8	5	01/01/2016"
"2017	Alagoas	8	1	01/01/2017"
"1998	Alagoas	9	14	01/01/1998"
"1999	Alagoas	9	3	01/01/1999"
"2000	Alagoas	9	22	01/01/2000"
"2001	Alagoas	9	5	01/01/2001"
"2002	Alagoas	9	14	01/01/2002"
"2003	Alagoas	9	8	01/01/2003"
"2004	Alagoas	9	5	01/01/2004"
"2005	Alagoas	9	7	01/01/2005"
"2006	Alagoas	9	4	01/01/2006"
"2007	Alagoas	9	2	01/01/2007"
"2008	Alagoas	9	9	01/01/2008"
"2009	Alagoas	9	13	01/01/2009"
"2010	Alagoas	9	5	01/01/2010"
"2011	Alagoas	9	5	01/01/2011"
"2012	Alagoas	9	6	01/01/2012"
"2013	Alagoas	9	4	01/01/2013"
"2014	Alagoas	9	11	01/01/2014"
"2015	Alagoas	9	7	01/01/2015"
"2016	Alagoas	9	18	01/01/2016"
"2017	Alagoas	9	4	01/01/2017"
"1998	Alagoas	10	20	01/01/1998"
"1999	Alagoas	10	4	01/01/1999"
"2000	Alagoas	10	13	01/01/2000"
"2001	Alagoas	10	15	01/01/2001"
"2002	Alagoas	10	30	01/01/2002"
"2003	Alagoas	10	10	01/01/2003"
"2004	Alagoas	10	12	01/01/2004"
"2005	Alagoas	10	17	01/01/2005"
"2006	Alagoas	10	32	01/01/2006"
"2007	Alagoas	10	6	01/01/2007"
"2008	Alagoas	10	18	01/01/2008"
"2009	Alagoas	10	30	01/01/2009"
"2010	Alagoas	10	16	01/01/2010"
"2011	Alagoas	10	23	01/01/2011"
"2012	Alagoas	10	28	01/01/2012"
"2013	Alagoas	10	25	01/01/2013"
"2014	Alagoas	10	7	01/01/2014"
"2015	Alagoas	10	40	01/01/2015"
"2016	Alagoas	10	74	01/01/2016"
"2017	Alagoas	10	14	01/01/2017"
"1998	Alagoas	11	19	01/01/1998"
"1999	Alagoas	11	15	01/01/1999"
"2000	Alagoas	11	2	01/01/2000"
"2001	Alagoas	11	22	01/01/2001"
"2002	Alagoas	11	50	01/01/2002"
"2003	Alagoas	11	17	01/01/2003"
"2004	Alagoas	11	28	01/01/2004"
"2005	Alagoas	11	25	01/01/2005"
"2006	Alagoas	11	12	01/01/2006"
"2007	Alagoas	11	15	01/01/2007"
"2008	Alagoas	11	37	01/01/2008"
"2009	Alagoas	11	55	01/01/2009"
"2010	Alagoas	11	31	01/01/2010"
"2011	Alagoas	11	23	01/01/2011"
"2012	Alagoas	11	95	01/01/2012"
"2013	Alagoas	11	10	01/01/2013"
"2014	Alagoas	11	14	01/01/2014"
"2015	Alagoas	11	162	01/01/2015"
"2016	Alagoas	11	76	01/01/2016"
"2017	Alagoas	11	10	01/01/2017"
"1998	Alagoas	12	32	01/01/1998"
"1999	Alagoas	12	12	01/01/1999"
"2000	Alagoas	12	2	01/01/2000"
"2001	Alagoas	12	30	01/01/2001"
"2002	Alagoas	12	95	01/01/2002"
"2003	Alagoas	12	43	01/01/2003"
"2004	Alagoas	12	71	01/01/2004"
"2005	Alagoas	12	16	01/01/2005"
"2006	Alagoas	12	30	01/01/2006"
"2007	Alagoas	12	33	01/01/2007"
"2008	Alagoas	12	34	01/01/2008"
"2009	Alagoas	12	55	01/01/2009"
"2010	Alagoas	12	45	01/01/2010"
"2011	Alagoas	12	50	01/01/2011"
"2012	Alagoas	12	59	01/01/2012"
"2013	Alagoas	12	42	01/01/2013"
"2014	Alagoas	12	24	01/01/2014"
"2015	Alagoas	12	136	01/01/2015"
"2016	Alagoas	12	155	01/01/2016"
"1998	Amap�	1	0	01/01/1998"
"1999	Amap�	1	0	01/01/1999"
"2000	Amap�	1	2	01/01/2000"
"2001	Amap�	1	0	01/01/2001"
"2002	Amap�	1	7	01/01/2002"
"2003	Amap�	1	31	01/01/2003"
"2004	Amap�	1	38	01/01/2004"
"2005	Amap�	1	109	01/01/2005"
"2006	Amap�	1	6	01/01/2006"
"2007	Amap�	1	0	01/01/2007"
"2008	Amap�	1	2	01/01/2008"
"2009	Amap�	1	4	01/01/2009"
"2010	Amap�	1	2	01/01/2010"
"2011	Amap�	1	0	01/01/2011"
"2012	Amap�	1	30	01/01/2012"
"2013	Amap�	1	3	01/01/2013"
"2014	Amap�	1	10	01/01/2014"
"2015	Amap�	1	14	01/01/2015"
"2016	Amap�	1	19	01/01/2016"
"2017	Amap�	1	2	01/01/2017"
"1998	Amap�	2	0	01/01/1998"
"1999	Amap�	2	1	01/01/1999"
"2000	Amap�	2	0	01/01/2000"
"2001	Amap�	2	0	01/01/2001"
